symbol,name
0600,arabic number sign
0601,arabic sign sanah
0602,arabic footnote marker
0603,arabic sign safha
0604,arabic sign samvat
0605,arabic number mark above
0606,arabic-indic cube root
0607,arabic-indic fourth root
0608,arabic ray
0609,arabic-indic per mille sign
060A,arabic-indic per ten thousand sign
060B,afghani sign
060C,arabic comma
060D,arabic date separator
060E,arabic poetic verse sign
060F,arabic sign misra
0610,arabic sign sallallahou alayhe wassallam
0611,arabic sign alayhe assallam
0612,arabic sign rahmatullah alayhe
0613,arabic sign radi allahou anhu
0614,arabic sign takhallus
0615,arabic small high tah
0616,arabic small high ligature alef with lam with yeh (alias arabic small high ligature alef with yeh barree)
0617,arabic small high zain
0618,arabic small fatha
0619,arabic small damma
061A,arabic small kasra
061B,arabic semicolon
061C,arabic letter mark (alias alm)
061D,arabic end of text mark
061E,arabic triple dot punctuation mark
061F,arabic question mark
0620,arabic letter kashmiri yeh
0621,arabic letter hamza
0622,arabic letter alef with madda above
0623,arabic letter alef with hamza above
0624,arabic letter waw with hamza above
0625,arabic letter alef with hamza below
0626,arabic letter yeh with hamza above
0627,arabic letter alef
0628,arabic letter beh
0629,arabic letter teh marbuta
062A,arabic letter teh
062B,arabic letter theh
062C,arabic letter jeem
062D,arabic letter hah
062E,arabic letter khah
062F,arabic letter dal
0630,arabic letter thal
0631,arabic letter reh
0632,arabic letter zain
0633,arabic letter seen
0634,arabic letter sheen
0635,arabic letter sad
0636,arabic letter dad
0637,arabic letter tah
0638,arabic letter zah
0639,arabic letter ain
063A,arabic letter ghain
063B,arabic letter keheh with two dots above
063C,arabic letter keheh with three dots below
063D,arabic letter farsi yeh with inverted v
063E,arabic letter farsi yeh with two dots above
063F,arabic letter farsi yeh with three dots above
0640,arabic tatweel
0641,arabic letter feh
0642,arabic letter qaf
0643,arabic letter kaf
0644,arabic letter lam
0645,arabic letter meem
0646,arabic letter noon
0647,arabic letter heh
0648,arabic letter waw
0649,arabic letter alef maksura
064A,arabic letter yeh
064B,arabic fathatan
064C,arabic dammatan
064D,arabic kasratan
064E,arabic fatha
064F,arabic damma
0650,arabic kasra
0651,arabic shadda
0652,arabic sukun
0653,arabic maddah above
0654,arabic hamza above
0655,arabic hamza below
0656,arabic subscript alef
0657,arabic inverted damma
0658,arabic mark noon ghunna
0659,arabic zwarakay
065A,arabic vowel sign small v above
065B,arabic vowel sign inverted small v above
065C,arabic vowel sign dot below
065D,arabic reversed damma
065E,arabic fatha with two dots
065F,arabic wavy hamza below
0660,arabic-indic digit zero
0661,arabic-indic digit one
0662,arabic-indic digit two
0663,arabic-indic digit three
0664,arabic-indic digit four
0665,arabic-indic digit five
0666,arabic-indic digit six
0667,arabic-indic digit seven
0668,arabic-indic digit eight
0669,arabic-indic digit nine
066A,arabic percent sign
066B,arabic decimal separator
066C,arabic thousands separator
066D,arabic five pointed star
066E,arabic letter dotless beh
066F,arabic letter dotless qaf
0670,arabic letter superscript alef
0671,arabic letter alef wasla
0672,arabic letter alef with wavy hamza above
0673,arabic letter alef with wavy hamza below
0674,arabic letter high hamza
0675,arabic letter high hamza alef
0676,arabic letter high hamza waw
0677,arabic letter u with hamza above
0678,arabic letter high hamza yeh
0679,arabic letter tteh
067A,arabic letter tteheh
067B,arabic letter beeh
067C,arabic letter teh with ring
067D,arabic letter teh with three dots above downwards
067E,arabic letter peh
067F,arabic letter teheh
0680,arabic letter beheh
0681,arabic letter hah with hamza above
0682,arabic letter hah with two dots vertical above
0683,arabic letter nyeh
0684,arabic letter dyeh
0685,arabic letter hah with three dots above
0686,arabic letter tcheh
0687,arabic letter tcheheh
0688,arabic letter ddal
0689,arabic letter dal with ring
068A,arabic letter dal with dot below
068B,arabic letter dal with dot below and small tah
068C,arabic letter dahal
068D,arabic letter ddahal
068E,arabic letter dul
068F,arabic letter dal with three dots above downwards
0690,arabic letter dal with four dots above
0691,arabic letter rreh
0692,arabic letter reh with small v
0693,arabic letter reh with ring
0694,arabic letter reh with dot below
0695,arabic letter reh with small v below
0696,arabic letter reh with dot below and dot above
0697,arabic letter reh with two dots above
0698,arabic letter jeh
0699,arabic letter reh with four dots above
069A,arabic letter seen with dot below and dot above
069B,arabic letter seen with three dots below
069C,arabic letter seen with three dots below and three dots above
069D,arabic letter sad with two dots below
069E,arabic letter sad with three dots above
069F,arabic letter tah with three dots above
06A0,arabic letter ain with three dots above
06A1,arabic letter dotless feh
06A2,arabic letter feh with dot moved below
06A3,arabic letter feh with dot below
06A4,arabic letter veh
06A5,arabic letter feh with three dots below
06A6,arabic letter peheh
06A7,arabic letter qaf with dot above
06A8,arabic letter qaf with three dots above
06A9,arabic letter keheh
06AA,arabic letter swash kaf
06AB,arabic letter kaf with ring
06AC,arabic letter kaf with dot above
06AD,arabic letter ng
06AE,arabic letter kaf with three dots below
06AF,arabic letter gaf
06B0,arabic letter gaf with ring
06B1,arabic letter ngoeh
06B2,arabic letter gaf with two dots below
06B3,arabic letter gueh
06B4,arabic letter gaf with three dots above
06B5,arabic letter lam with small v
06B6,arabic letter lam with dot above
06B7,arabic letter lam with three dots above
06B8,arabic letter lam with three dots below
06B9,arabic letter noon with dot below
06BA,arabic letter noon ghunna
06BB,arabic letter rnoon
06BC,arabic letter noon with ring
06BD,arabic letter noon with three dots above
06BE,arabic letter heh doachashmee
06BF,arabic letter tcheh with dot above
06C0,arabic letter heh with yeh above
06C1,arabic letter heh goal
06C2,arabic letter heh goal with hamza above
06C3,arabic letter teh marbuta goal
06C4,arabic letter waw with ring
06C5,arabic letter kirghiz oe
06C6,arabic letter oe
06C7,arabic letter u
06C8,arabic letter yu
06C9,arabic letter kirghiz yu
06CA,arabic letter waw with two dots above
06CB,arabic letter ve
06CC,arabic letter farsi yeh
06CD,arabic letter yeh with tail
06CE,arabic letter yeh with small v
06CF,arabic letter waw with dot above
06D0,arabic letter e
06D1,arabic letter yeh with three dots below
06D2,arabic letter yeh barree
06D3,arabic letter yeh barree with hamza above
06D4,arabic full stop
06D5,arabic letter ae
06D6,arabic small high ligature sad with lam with alef maksura
06D7,arabic small high ligature qaf with lam with alef maksura
06D8,arabic small high meem initial form
06D9,arabic small high lam alef
06DA,arabic small high jeem
06DB,arabic small high three dots
06DC,arabic small high seen
06DD,arabic end of ayah
06DE,arabic start of rub el hizb
06DF,arabic small high rounded zero
06E0,arabic small high upright rectangular zero
06E1,arabic small high dotless head of khah
06E2,arabic small high meem isolated form
06E3,arabic small low seen
06E4,arabic small high madda
06E5,arabic small waw
06E6,arabic small yeh
06E7,arabic small high yeh
06E8,arabic small high noon
06E9,arabic place of sajdah
06EA,arabic empty centre low stop
06EB,arabic empty centre high stop
06EC,arabic rounded high stop with filled centre
06ED,arabic small low meem
06EE,arabic letter dal with inverted v
06EF,arabic letter reh with inverted v
06F0,extended arabic-indic digit zero
06F1,extended arabic-indic digit one
06F2,extended arabic-indic digit two
06F3,extended arabic-indic digit three
06F4,extended arabic-indic digit four
06F5,extended arabic-indic digit five
06F6,extended arabic-indic digit six
06F7,extended arabic-indic digit seven
06F8,extended arabic-indic digit eight
06F9,extended arabic-indic digit nine
06FA,arabic letter sheen with dot below
06FB,arabic letter dad with dot below
06FC,arabic letter ghain with dot below
06FD,arabic sign sindhi ampersand
06FE,arabic sign sindhi postposition men
06FF,arabic letter heh with inverted v
