symbol,name
؀,arabic number sign
؁,arabic sign sanah
؂,arabic footnote marker
؃,arabic sign safha
؄,arabic sign samvat
؅,arabic number mark above
؆,arabic-indic cube root
؇,arabic-indic fourth root
؈,arabic ray
؉,arabic-indic per mille sign
؊,arabic-indic per ten thousand sign
؋,afghani sign
،,arabic comma
؍,arabic date separator
؎,arabic poetic verse sign
؏,arabic sign misra
ؐ,arabic sign sallallahou alayhe wassallam
ؑ,arabic sign alayhe assallam
ؒ,arabic sign rahmatullah alayhe
ؓ,arabic sign radi allahou anhu
ؔ,arabic sign takhallus
ؕ,arabic small high tah
ؖ,arabic small high ligature alef with lam with yeh (alias arabic small high ligature alef with yeh barree)
ؗ,arabic small high zain
ؘ,arabic small fatha
ؙ,arabic small damma
ؚ,arabic small kasra
؛,arabic semicolon
؜,arabic letter mark (alias alm)
؝,arabic end of text mark
؞,arabic triple dot punctuation mark
؟,arabic question mark
ؠ,arabic letter kashmiri yeh
ء,arabic letter hamza
آ,arabic letter alef with madda above
أ,arabic letter alef with hamza above
ؤ,arabic letter waw with hamza above
إ,arabic letter alef with hamza below
ئ,arabic letter yeh with hamza above
ا,arabic letter alef
ب,arabic letter beh
ة,arabic letter teh marbuta
ت,arabic letter teh
ث,arabic letter theh
ج,arabic letter jeem
ح,arabic letter hah
خ,arabic letter khah
د,arabic letter dal
ذ,arabic letter thal
ر,arabic letter reh
ز,arabic letter zain
س,arabic letter seen
ش,arabic letter sheen
ص,arabic letter sad
ض,arabic letter dad
ط,arabic letter tah
ظ,arabic letter zah
ع,arabic letter ain
غ,arabic letter ghain
ػ,arabic letter keheh with two dots above
ؼ,arabic letter keheh with three dots below
ؽ,arabic letter farsi yeh with inverted v
ؾ,arabic letter farsi yeh with two dots above
ؿ,arabic letter farsi yeh with three dots above
ـ,arabic tatweel
ف,arabic letter feh
ق,arabic letter qaf
ك,arabic letter kaf
ل,arabic letter lam
م,arabic letter meem
ن,arabic letter noon
ه,arabic letter heh
و,arabic letter waw
ى,arabic letter alef maksura
ي,arabic letter yeh
ً,arabic fathatan
ٌ,arabic dammatan
ٍ,arabic kasratan
َ,arabic fatha
ُ,arabic damma
ِ,arabic kasra
ّ,arabic shadda
ْ,arabic sukun
ٓ,arabic maddah above
ٔ,arabic hamza above
ٕ,arabic hamza below
ٖ,arabic subscript alef
ٗ,arabic inverted damma
٘,arabic mark noon ghunna
ٙ,arabic zwarakay
