character,phonetics,voicing,aspiration,position
क,occlusive,unvoiced,unaspirated,velar,,
ख,occlusive,unvoiced,aspirated,velar,,,,,
ग,occlusive,voiced,unaspirated,velar,,,,,
घ,occlusive,voiced,aspirated,velar,,,,,
ङ,nasal,voiced,unaspirated,velar,,,,,
ह,fricative,voiced,aspirated,velar,,,,,
च,occlusive,unvoiced,unaspirated,palatal
छ,occlusive,unvoiced,aspirated,palatal,,,,,
ज,,,,,,
झ,,,,,,
ञ,,,,,,
य,,,,,,
श,,,,,,
ट,occlusive,unvoiced,unaspirated,retroflex,,,,,
ठ,occlusive,unvoiced,aspirated,retroflex,,,,,
ड,,,,,,
ढ,,,,,,
ण,,,,,,
र,,,,,,
ष,,,,,,
त,occlusive,unvoiced,unaspirated,dental,,,,
थ,occlusive,unvoiced,aspirated,dental,,,,,
द,,,,,,
ध,,,,,,
न,,,,,,
ल,,,,,,
स,,,,,,
प,occlusive,unvoiced,unaspirated,labial
फ,occlusive,unvoiced,aspirated,labial,,,,,
ब,,,,,,
भ,,,,,,
म,,,,,,
व,,,,,,
