symbol,name
ก,thai character ko kai
ข,thai character kho khai
ฃ,thai character kho khuat
ค,thai character kho khwai
ฅ,thai character kho khon
ฆ,thai character kho rakhang
ง,thai character ngo ngu
จ,thai character cho chan
ฉ,thai character cho ching
ช,thai character cho chang
ซ,thai character so so
ฌ,thai character cho choe
ญ,thai character yo ying
ฎ,thai character do chada
ฏ,thai character to patak
ฐ,thai character tho than
ฑ,thai character tho nangmontho
ฒ,thai character tho phuthao
ณ,thai character no nen
ด,thai character do dek
ต,thai character to tao
ถ,thai character tho thung
ท,thai character tho thahan
ธ,thai character tho thong
น,thai character no nu
บ,thai character bo baimai
ป,thai character po pla
ผ,thai character pho phung
ฝ,thai character fo fa
พ,thai character pho phan
ฟ,thai character fo fan
ภ,thai character pho samphao
ม,thai character mo ma
ย,thai character yo yak
ร,thai character ro rua
ฤ,thai character ru
ล,thai character lo ling
ฦ,thai character lu
ว,thai character wo waen
ศ,thai character so sala
ษ,thai character so rusi
ส,thai character so sua
ห,thai character ho hip
ฬ,thai character lo chula
อ,thai character o ang
ฮ,thai character ho nokhuk
ฯ,thai character paiyannoi
ะ,thai character sara a
ั,thai character mai han-akat
า,thai character sara aa
ำ,thai character sara am
ิ,thai character sara i
ี,thai character sara ii
ึ,thai character sara ue
ื,thai character sara uee
ุ,thai character sara u
ู,thai character sara uu
ฺ,thai character phinthu
฿,thai currency symbol baht
เ,thai character sara e
แ,thai character sara ae
โ,thai character sara o
ใ,thai character sara ai maimuan
ไ,thai character sara ai maimalai
ๅ,thai character lakkhangyao
ๆ,thai character maiyamok
็,thai character maitaikhu
่,thai character mai ek
้,thai character mai tho
๊,thai character mai tri
๋,thai character mai chattawa
์,thai character thanthakhat
ํ,thai character nikhahit
๎,thai character yamakkan
๏,thai character fongman
๐,thai digit zero
๑,thai digit one
๒,thai digit two
๓,thai digit three
๔,thai digit four
๕,thai digit five
๖,thai digit six
๗,thai digit seven
๘,thai digit eight
๙,thai digit nine
๚,thai character angkhankhu
๛,thai character khomut
